rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,114.0,10.1,,150,108,1467,221184,,0.004954089,0.0634,0.2,-0.443,0.264,0.0003,9.08,1070.0,-0.00437,20.2
,114.0,10.4,,150,109,1480,223232,,0.0049529364,0.0507,0.2,-0.427,0.143,0.0003,10.8,1080.0,-0.00483,18.5
,114.0,10.9,,150,110,1494,225280,,0.007602787,0.07,0.2,-0.424,0.0978,0.0003,8.98,1090.0,-0.00306,19.8
,107.0,10.2,,150,111,1508,227328,,0.006540943,0.0687,0.2,-0.417,0.23,0.0003,5.81,1100.0,-0.00431,18.2
,111.0,10.7,,150,112,1521,229376,,0.0044363616,0.0576,0.2,-0.396,0.304,0.0003,8.35,1110.0,-0.00413,16.7
,110.0,9.77,,150,113,1534,231424,,0.0076843845,0.076,0.2,-0.444,0.244,0.0003,7.48,1120.0,-0.0044,16.6
,111.0,9.42,,150,114,1548,233472,,0.008306654,0.0925,0.2,-0.417,0.194,0.0003,9.16,1130.0,-0.00654,16.5
,108.0,8.15,,150,115,1562,235520,,0.0045769573,0.0605,0.2,-0.421,0.255,0.0003,10.7,1140.0,-0.00172,14.7
,112.0,8.52,,150,116,1575,237568,,0.007469996,0.0613,0.2,-0.45,0.347,0.0003,6.39,1150.0,-0.00289,17.2
,111.0,8.84,,150,117,1590,239616,,0.004658973,0.0718,0.2,-0.436,0.224,0.0003,7.51,1160.0,-0.00254,18.8
,114.0,9.65,,150,118,1604,241664,,0.005217836,0.0513,0.2,-0.415,0.237,0.0003,11.2,1170.0,-0.00274,16.3
,112.0,8.84,,150,119,1618,243712,,0.00620818,0.0797,0.2,-0.408,0.105,0.0003,9.2,1180.0,-0.00219,18.3
,106.0,8.38,,150,120,1633,245760,,0.0059123803,0.0554,0.2,-0.409,0.378,0.0003,7.56,1190.0,-0.00394,16.0
,103.0,7.96,,150,121,1647,247808,,0.0054883566,0.0618,0.2,-0.422,0.398,0.0003,5.98,1200.0,-0.00415,16.9
,104.0,7.87,,150,122,1662,249856,,0.005596576,0.0701,0.2,-0.394,0.168,0.0003,6.44,1210.0,-0.00596,16.9
,105.0,7.5,,150,123,1674,251904,,0.0062078387,0.058,0.2,-0.381,0.296,0.0003,7.68,1220.0,-0.0022,16.1
,105.0,7.86,,150,124,1688,253952,,0.0037580472,0.0585,0.2,-0.373,0.164,0.0003,9.15,1230.0,-0.00063,15.7
,113.0,9.5,,150,125,1702,256000,,0.00446732,0.0566,0.2,-0.391,0.176,0.0003,10.6,1240.0,-0.00469,18.7
,118.0,11.1,,150,126,1715,258048,,0.003996081,0.0608,0.2,-0.383,0.0155,0.0003,12.1,1250.0,-0.000791,19.1
,124.0,12.6,,150,127,1728,260096,,0.004076603,0.0443,0.2,-0.357,0.0652,0.0003,10.7,1260.0,-0.00266,19.0
,128.0,13.9,,150,128,1742,262144,,0.0076304055,0.0758,0.2,-0.389,0.197,0.0003,9.05,1270.0,-0.00495,18.7
,130.0,15.2,,150,129,1755,264192,,0.004890143,0.0555,0.2,-0.377,0.382,0.0003,7.08,1280.0,-0.00316,16.1
,126.0,14.7,,150,130,1769,266240,,0.0045878114,0.0561,0.2,-0.39,0.334,0.0003,7.49,1290.0,-0.00251,15.6
,130.0,16.1,,150,131,1782,268288,,0.006238539,0.0578,0.2,-0.401,0.257,0.0003,12.7,1300.0,-0.00285,19.2
,124.0,14.8,,150,132,1796,270336,,0.004852465,0.0542,0.2,-0.359,0.298,0.0003,5.01,1310.0,-0.000649,14.7
,122.0,14.7,,150,133,1809,272384,,0.0056206174,0.0593,0.2,-0.367,0.23,0.0003,11.9,1320.0,-0.00348,23.4
,127.0,15.9,,150,134,1822,274432,,0.0047311336,0.0623,0.2,-0.37,0.257,0.0003,5.36,1330.0,-0.00337,17.4
,123.0,15.6,,150,135,1835,276480,,0.003812186,0.0605,0.2,-0.349,0.124,0.0003,6.73,1340.0,-0.00193,18.2
,133.0,17.7,,150,136,1848,278528,,0.006911381,0.0681,0.2,-0.358,0.0957,0.0003,10.6,1350.0,-0.0019,20.4
,131.0,17.8,,150,137,1861,280576,,0.0076922444,0.0723,0.2,-0.36,0.193,0.0003,5.58,1360.0,-0.00277,16.1
,131.0,18.2,,150,138,1874,282624,,0.00488511,0.0536,0.2,-0.355,0.235,0.0003,13.9,1370.0,-0.00272,22.9
,134.0,19.0,,150,139,1887,284672,,0.0033994284,0.0575,0.2,-0.345,0.196,0.0003,10.2,1380.0,-0.00201,23.0
,129.0,17.5,,150,140,1901,286720,,0.0067542573,0.0581,0.2,-0.351,0.0882,0.0003,8.58,1390.0,-0.00391,22.1
,123.0,16.3,,150,141,1915,288768,,0.005756604,0.0655,0.2,-0.37,0.0321,0.0003,9.65,1400.0,-0.00472,22.9
,122.0,16.7,,150,142,1928,290816,,0.0053914716,0.08,0.2,-0.39,0.0613,0.0003,9.72,1410.0,-0.00242,22.9
